amount,drivetrain,payment_year,disadvantaged,publicorprivate,grossvehicleweight,manufacturer,vocationaluse,infrastructure,county,assemblydistrict,senatedistrict,air_district,censustract,fleetzipcode
85000,ZEV-BEV,UnRedeemed,No,Private,"19,501 - 26,000",Xos,Panel/ Step/ Cargo Van,No,Solano County,Assembly District 11,Senate District 03,Bay Area AQMD,Tract 06095252305,ZIP Code 94533
85000,ZEV-BEV,UnRedeemed,No,Private,"19,501 - 26,000",Xos,Panel/ Step/ Cargo Van,No,Solano County,Assembly District 11,Senate District 03,Bay Area AQMD,Tract 06095252305,ZIP Code 94533
85000,ZEV-BEV,UnRedeemed,No,Private,"19,501 - 26,000",Xos,Panel/ Step/ Cargo Van,No,Solano County,Assembly District 11,Senate District 03,Bay Area AQMD,Tract 06095252305,ZIP Code 94533
85000,ZEV-BEV,UnRedeemed,No,Private,"19,501 - 26,000",Xos,Panel/ Step/ Cargo Van,No,Solano County,Assembly District 11,Senate District 03,Bay Area AQMD,Tract 06095252305,ZIP Code 94533
85000,ZEV-BEV,UnRedeemed,No,Private,"19,501 - 26,000",Xos,Panel/ Step/ Cargo Van,No,Solano County,Assembly District 11,Senate District 03,Bay Area AQMD,Tract 06095252305,ZIP Code 94533
85000,ZEV-BEV,UnRedeemed,No,Private,"19,501 - 26,000",Xos,Panel/ Step/ Cargo Van,No,Solano County,Assembly District 11,Senate District 03,Bay Area AQMD,Tract 06095252305,ZIP Code 94533
7500,ZEV-BEV,UnRedeemed,No,Private,"6,001 - 10,000",Ford,Panel/ Step/ Cargo Van,No,Santa Clara County,Assembly District 28,Senate District 15,Bay Area AQMD,Tract 06085506502,ZIP Code 95008
85000,ZEV-BEV,UnRedeemed,No,Private,"19,501 - 26,000",Xos,Panel/ Step/ Cargo Van,No,Orange County,Assembly District 68,Senate District 37,South Coast AQMD,Tract 06059052426,ZIP Code 92618
85000,ZEV-BEV,UnRedeemed,No,Private,"19,501 - 26,000",Xos,Panel/ Step/ Cargo Van,No,Orange County,Assembly District 68,Senate District 37,South Coast AQMD,Tract 06059052426,ZIP Code 92618
7500,ZEV-BEV,UnRedeemed,No,Private,"6,001 - 10,000",Ford,Panel/ Step/ Cargo Van,No,Santa Clara County,Assembly District 28,Senate District 15,Bay Area AQMD,Tract 06085506502,ZIP Code 95008
7500,ZEV-BEV,UnRedeemed,No,Private,"6,001 - 10,000",Ford,Panel/ Step/ Cargo Van,No,Santa Clara County,Assembly District 28,Senate District 15,Bay Area AQMD,Tract 06085506502,ZIP Code 95008
30000,HV,2010,Yes,Private,"26,001 - 33,000",Peterbilt,Refuse,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505202,ZIP Code 95050
25000,HV,2010,Yes,Private,"26,001 - 33,000",Peterbilt,Refuse,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505202,ZIP Code 95050
25000,HV,2010,Yes,Private,"26,001 - 33,000",Peterbilt,Refuse,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505202,ZIP Code 95050
30000,HV,2010,Yes,Private,"26,001 - 33,000",Peterbilt,Refuse,No,Alameda County,Assembly District 18,Senate District 09,Bay Area AQMD,Tract 06001433200,ZIP Code 94577
45000,HV,2013,No,Private,"33,001 and up",Autocar,Refuse,No,San Joaquin County,Assembly District 12,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077005124,ZIP Code 95377
45000,HV,2013,No,Private,"33,001 and up",Autocar,Refuse,No,San Joaquin County,Assembly District 12,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077005124,ZIP Code 95377
45000,HV,2013,No,Public,"33,001 and up",Autocar,Refuse,No,Sacramento County,Assembly District 09,Senate District 06,Sacramento Metropolitan AQMD,Tract 06067004300,ZIP Code 95832
45000,HV,2013,No,Public,"33,001 and up",Autocar,Refuse,No,Sacramento County,Assembly District 09,Senate District 06,Sacramento Metropolitan AQMD,Tract 06067004300,ZIP Code 95832
45000,HV,2013,No,Private,"33,001 and up",Autocar,Refuse,No,Marin County,Assembly District 10,Senate District 02,Bay Area AQMD,Tract 06041112202,ZIP Code 94901
30000,HV,2013,Yes,Private,"19,501 - 26,000",Peterbilt,Refuse,No,Alameda County,Assembly District 18,Senate District 09,Bay Area AQMD,Tract 06001433200,ZIP Code 94577
30000,HV,2013,Yes,Private,"19,501 - 26,000",Peterbilt,Refuse,No,Alameda County,Assembly District 18,Senate District 09,Bay Area AQMD,Tract 06001433200,ZIP Code 94577
37000,HV,2013,No,Private,"14,001 - 19,500",Hino Motors,Refuse,No,Sacramento County,Assembly District 08,Senate District 08,Sacramento Metropolitan AQMD,Tract 06067009010,ZIP Code 95670
37000,HV,2013,No,Private,"14,001 - 19,500",Hino Motors,Refuse,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511702,ZIP Code 94024
45000,HV,2014,No,Public,"33,001 and up",Autocar,Refuse,No,Santa Cruz County,Assembly District 29,Senate District 17,Monterey Bay Unified APCD,Tract 06087100300,ZIP Code 95060
50000,HV,2014,No,Private,"33,001 and up",Autocar,Refuse,No,Marin County,Assembly District 10,Senate District 02,Bay Area AQMD,Tract 06041112202,ZIP Code 94901
50000,HV,2015,No,Public,"33,001 and up",Autocar,Refuse,No,Santa Cruz County,Assembly District 29,Senate District 17,Monterey Bay Unified APCD,Tract 06087100300,ZIP Code 95060
40000,HV,2015,No,Public,"33,001 and up",Autocar,Refuse,No,Santa Cruz County,Assembly District 29,Senate District 17,Monterey Bay Unified APCD,Tract 06087100300,ZIP Code 95060
50000,HV,2015,No,Public,"33,001 and up",Autocar,Refuse,No,Santa Cruz County,Assembly District 29,Senate District 17,Monterey Bay Unified APCD,Tract 06087100300,ZIP Code 95060
40000,HV,2015,No,Public,"33,001 and up",Autocar,Refuse,No,Santa Cruz County,Assembly District 29,Senate District 17,Monterey Bay Unified APCD,Tract 06087100300,ZIP Code 95060
50000,HV,2015,No,Private,"33,001 and up",Autocar,Refuse,No,San Mateo County,Assembly District 22,Senate District 13,Bay Area AQMD,Tract 06081610304,ZIP Code 94070
50000,HV,2015,No,Public,"33,001 and up",Autocar,Refuse,No,Shasta County,Assembly District 01,Senate District 01,Shasta County AQMD,Tract 06089010805,ZIP Code 96003
23000,HV,2015,Yes,Private,"14,001 - 19,500",Hino Motors,Refuse,No,Los Angeles County,Assembly District 53,Senate District 24,South Coast AQMD,Tract 06037211201,ZIP Code 90004
40000,HV,2015,No,Public,"33,001 and up",Autocar,Refuse,No,Santa Cruz County,Assembly District 29,Senate District 17,Monterey Bay Unified APCD,Tract 06087100300,ZIP Code 95060
50000,HV,2016,No,Private,"33,001 and up",Autocar,Refuse,No,Marin County,Assembly District 10,Senate District 02,Bay Area AQMD,Tract 06041112202,ZIP Code 94901
50000,HV,2016,No,Private,"33,001 and up",Autocar,Refuse,No,Placer County,Assembly District 01,Senate District 01,Northern Sierra AQMD,Tract 06061022011,ZIP Code 96161
8694,Natural Gas,2017,Yes,Private,"33,001 and up",Peterbilt,Refuse,No,Orange County,Assembly District 65,Senate District 29,South Coast AQMD,Tract 06059011602,ZIP Code 92831
